iter	Passed	Remaining
0	2	278
1	5	264
2	8	274
3	10	258
4	13	261
5	16	257
6	19	260
7	22	260
8	25	257
9	29	263
10	37	305
11	41	301
12	44	295
13	47	290
14	52	296
15	55	290
16	58	285
17	61	281
18	65	278
19	69	278
20	72	272
21	75	267
22	78	261
23	81	257
24	85	257
25	88	252
26	91	246
27	94	241
28	97	238
29	100	234
30	103	229
31	105	225
32	108	220
33	111	216
34	114	212
35	117	208
36	119	204
37	122	199
38	125	195
39	128	192
40	131	189
41	132	183
42	135	178
43	137	175
44	140	171
45	143	168
46	146	165
47	149	162
48	152	158
49	154	154
50	158	151
51	160	148
52	163	144
53	166	141
54	168	137
55	170	134
56	174	131
57	177	128
58	179	124
59	182	121
60	185	118
61	187	115
62	190	111
63	193	108
64	196	105
65	198	102
66	201	99
67	203	95
68	206	92
69	208	89
70	211	86
71	213	83
72	216	80
73	219	77
74	221	73
75	223	70
76	226	67
77	229	64
78	231	61
79	234	58
80	237	55
81	239	52
82	242	49
83	244	46
84	247	43
85	250	40
86	252	37
87	255	34
88	258	31
89	261	29
90	264	26
91	267	23
92	269	20
93	272	17
94	275	14
95	278	11
96	281	8
97	284	5
98	286	2
99	289	0
